timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-06-08,148.12,150.2,148.12,149.07,149.07,5080099,0.0000,1.0
2021-06-07,147.55,148.74,147.17,148.02,148.02,3462712,0.0000,1.0
2021-06-04,146.0,147.55,145.76,147.42,147.42,3117905,0.0000,1.0
2021-06-03,144.91,145.88,144.04,145.55,145.55,4130741,0.0000,1.0
2021-06-02,144.62,145.75,144.11,145.72,145.72,2786916,0.0000,1.0
2021-06-01,145.0,145.83,143.75,144.19,144.19,2417455,0.0000,1.0
2021-05-28,144.21,144.33,143.485,143.74,143.74,2534811,0.0000,1.0
2021-05-27,143.82,144.77,143.63,143.82,143.82,5630345,0.0000,1.0
2021-05-26,143.5,143.9894,143.04,143.38,143.38,3083789,0.0000,1.0
2021-05-25,144.92,145.0,143.2,143.79,143.79,3937323,0.0000,1.0
2021-05-24,145.06,145.39,144.18,144.72,144.72,3297570,0.0000,1.0
2021-05-21,144.28,145.699,144.28,144.74,144.74,4033482,0.0000,1.0
2021-05-20,143.12,144.91,142.16,143.88,143.88,4112690,0.0000,1.0
2021-05-19,142.32,143.2,140.92,143.19,143.19,4300732,0.0000,1.0
2021-05-18,144.78,145.3,143.23,143.91,143.91,3824050,0.0000,1.0
2021-05-17,144.44,145.8,144.33,145.11,145.11,4275172,0.0000,1.0
2021-05-14,145.11,145.69,143.96,144.68,144.68,2747385,0.0000,1.0
2021-05-13,141.45,144.9,141.28,144.17,144.17,4598920,0.0000,1.0
2021-05-12,143.84,144.15,141.14,141.3,141.3,5959579,0.0000,1.0
2021-05-11,144.99,145.19,142.9,144.22,144.22,7126404,0.0000,1.0
2021-05-10,145.8,148.38,145.8,146.17,146.17,6983377,0.0000,1.0
2021-05-07,145.92,146.14,144.57,145.46,145.46,7003467,1.6400,1.0
2021-05-06,145.26,148.515,145.18,148.42,146.765283481,7503487,0.0000,1.0
2021-05-05,145.94,145.94,144.97,145.22,143.600959891,3622800,0.0000,1.0
